"","VALUE","COUNT","BPS_NAME","BPS_MODEL","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",1920,1557898,"Laurentian-Acadian Northern Hardwoods Forest","13020_65_66","Hardwood","983","NA","NA","983",346468.175326055,140210.82,84.3604539084515,0.298039,0.901961,0,"76","230","0"
"2",1942,136520,"Laurentian-Acadian Swamp Systems","15260_64_65_66","Riparian","1011","NA","NA","1011",30361.3171693609,12286.8,7.39258229202541,0.909804,0.627451,1,"232","160","255"
"3",1929,73851,"Acadian-Appalachian Montane Spruce-Fir Forest","13740_64_65_66","Hardwood-Conifer","580","NA","NA","580",16424.067054457,6646.59,3.99904479086118,0.564706,0.419608,0.709804,"144","107","181"
"4",1925,44571,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","Hardwood-Conifer","482","998","289","153",9912.35179867848,4011.39,2.41352758085163,0.815686,1,0.388235,"208","255","99"
"5",1978,7930,"Laurentian-Acadian Northern Hardwoods Forest","13020_65_66","Hardwood","983","NA","NA","983",1763.58954844003,713.7,0.429410911044254,0.298039,0.901961,0,"76","230","0"
"6",11,7437,"Open Water","NA","Open Water","NA","NA","NA","NA",1653.94898761015,669.33,0.402714873321074,0,0,1,"0","0","255"
"7",1924,5381,"Laurentian-Acadian Northern Pine(-Oak) Forest","13620_51_63_64_65_66","Hardwood-Conifer","309","447","65","48",1196.70559396668,484.29,0.291382107481605,1,0.74902,0.74902,"255","191","191"
"8",1926,4709,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","Hardwood-Conifer","182","463","15","14",1047.25639137504,423.81,0.254993187907615,0,1,0.862745,"0","255","220"
"9",1940,2442,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems","14940_63_65_66","Riparian","792","NA","NA","792",543.087727274974,219.78,0.132234734523338,0,0.658824,0.419608,"0","168","107"
"10",1983,2093,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","Hardwood-Conifer","482","998","289","153",465.471995571875,188.37,0.113336322423155,0.815686,1,0.388235,"208","255","99"
"11",1934,752,"Central Interior and Appalachian Riparian Systems","14720_64_65_66","Riparian","984","NA","198","165",167.240774328739,67.68,0.0407209338089885,0.141176,1,0.078431,"36","255","20"
"12",1987,701,"Acadian-Appalachian Montane Spruce-Fir Forest","13740_64_65_66","Hardwood-Conifer","580","NA","NA","580",155.898647346338,63.09,0.0379592747341768,0.564706,0.419608,0.709804,"144","107","181"
"13",1937,614,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","Riparian","1011","NA","1353","578",136.550313082242,55.26,0.0332482092536156,0.811765,0.239216,1,"207","61","255"
"14",1930,460,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","Hardwood-Conifer","412","384","4645","190",102.301537488324,41.4,0.024909081851243,1,0,0.301961,"255","0","77"
"15",1927,385,"Appalachian (Hemlock-)Northern Hardwood Forest","13700_60_63_64_65_66","Hardwood","1010","1122","NA","531",85.6219389847931,34.65,0.0208478185059316,0.839216,1,0.568627,"214","255","145"
"16",1928,380,"Acadian Low-Elevation Spruce-Fir-Hardwood Forest","13730_65_66","Hardwood-Conifer","1127","NA","NA","1127",84.5099657512244,34.2,0.0205770676162442,0.509804,0.627451,0.392157,"130","160","100"
"17",1986,318,"Acadian Low-Elevation Spruce-Fir-Hardwood Forest","13730_65_66","Hardwood-Conifer","1127","NA","NA","1127",70.721497654972,28.62,0.0172197565841201,0.509804,0.627451,0.392157,"130","160","100"
"18",1935,65,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","Riparian","NA","435","68","59",14.4556520363936,5.85,0.00351976156593651,0.478431,0.560784,0.960784,"122","143","245"
"19",1936,61,"Boreal Acidic Peatland Systems","14770_63_64_65_66","Riparian","935","NA","170","144",13.5660734495387,5.49,0.00330316085418657,0.415686,0,0.541176,"106","0","138"
"20",1999,52,"Laurentian-Acadian Swamp Systems","15260_64_65_66","Riparian","1011","NA","NA","1011",11.5645216291149,4.68,0.0028158092527492,0.909804,0.627451,1,"232","160","255"
"21",1984,35,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","Hardwood-Conifer","182","463","15","14",7.78381263498119,3.15,0.00189525622781196,0,1,0.862745,"0","255","220"
"22",1982,20,"Laurentian-Acadian Northern Pine(-Oak) Forest","13620_51_63_64_65_66","Hardwood-Conifer","309","447","65","48",4.44789293427497,1.8,0.00108300355874969,1,0.74902,0.74902,"255","191","191"
"23",31,13,"Barren-Rock/Sand/Clay","NA","Barren-Rock/Sand/Clay","NA","NA","NA","NA",2.89113040727873,1.17,0.000703952313187301,0.74902,0.74902,0.74902,"191","191","191"
"24",1995,11,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","Riparian","1011","NA","1353","578",2.44634111385123,0.99,0.000595651957312332,0.811765,0.239216,1,"207","61","255"
"25",1933,6,"Central Interior and Appalachian Floodplain Systems","14710_64_65","Riparian","603","392","120","80",1.33436788028249,0.54,0.000324901067624908,0,0.74902,0.690196,"0","191","176"
"26",1988,5,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","Hardwood-Conifer","412","384","4645","190",1.11197323356874,0.45,0.000270750889687423,1,0,0.301961,"255","0","77"
"27",1932,2,"Northern Atlantic Coastal Plain Dune and Swale","14360_65_66","Grassland","10","17","NA","6",0.444789293427497,0.18,0.000108300355874969,0.392157,0.121569,0.341176,"100","31","87"
"28",1994,2,"Boreal Acidic Peatland Systems","14770_63_64_65_66","Riparian","935","NA","170","144",0.444789293427497,0.18,0.000108300355874969,0.415686,0,0.541176,"106","0","138"
"29",1979,1,"Northern Atlantic Coastal Plain Hardwood Forest","13240_60_65_66","Hardwood","48","44","4","4",0.222394646713748,0.09,5.41501779374847e-05,0.631373,0.439216,0.352941,"161","112","90"
"30",1998,1,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems","14940_63_65_66","Riparian","792","NA","NA","792",0.222394646713748,0.09,5.41501779374847e-05,0,0.658824,0.419608,"0","168","107"
